id,created_at,text
1285827550355132417,2020-07-22 06:42:32,2 minutes later … https://t.co/o5fbBTan1S
1285827154324779008,2020-07-22 06:40:57,@nytimes Just another day in 2020
1285824098711375872,2020-07-22 06:28:49,@Erdayastronaut @flcnhvy Individualized mass transit is the future
1285822396738355201,2020-07-22 06:22:03,"@flcnhvy No, best to have people seated for safety &amp; speed of travel"
1285819565407002624,2020-07-22 06:10:48,Coming soon https://t.co/6nOgLix6b5
1285819300310204416,2020-07-22 06:09:45,"@WholeMarsBlog Human overseen at first, then fully self-driving"
1285816082045865985,2020-07-22 05:56:57,"@JaneidyEve Can’t say, but it involves a 🐻"
1285814984073637888,2020-07-22 05:52:36,@Kable_10 🔥🔥
1285813905235644418,2020-07-22 05:48:18,@PPathole 🤣
1285813754857283585,2020-07-22 05:47:43,@BucketHat1 This one stings
1285813218997235714,2020-07-22 05:45:35,Where are the memes? Send in … the memes …
1285812824581660676,2020-07-22 05:44:01,"@teslatrey We need to finish upgrading Autopilot to 4D vs ~2.5D, then it will go up very steep slopes"
1285811949914058753,2020-07-22 05:40:32,Nothing has gaslit more people than the movie Gaslight
1285803741581475841,2020-07-22 05:07:55,"@LoomisP_ @MSNBC @11thHour Well said, Brian Williams!"
1285753051286867968,2020-07-22 01:46:30,@FutureJurvetson Great shot!
1285641214646259715,2020-07-21 18:22:06,RT @SpaceX: Videos of yesterday’s catch of both fairing halves https://t.co/yzTDFzlulL
1285635641263435777,2020-07-21 17:59:57,@FaZeBlaze 👍
1285622874544513029,2020-07-21 17:09:13,"@SamTalksTesla Sometimes, that’s how I feel too!"
1285617982970961921,2020-07-21 16:49:47,@PPathole @Teslarati @BocaChicaGal Will attempt to fly later this week
1285617058995200000,2020-07-21 16:46:07,@sri_myneni @Erdayastronaut @considercosmos @SpaceX Sound &amp; flame color will be quite different
1285613840953221128,2020-07-21 16:33:19,@glenn22x @Teslarati @BocaChicaGal Yes
1285613263976312836,2020-07-21 16:31:02,"@Teslarati @BocaChicaGal We’re rapidly changing alloy constituents &amp; forming methods, so traditional names like 304… https://t.co/FYUuio5Dtz"
1285444183570841601,2020-07-21 05:19:10,@flcnhvy 🤣🤣
1285443997654122496,2020-07-21 05:18:26,"@cleantechnica At some point, we should probably do advertising as art/communication/entertainment &amp; to support high quality media"
1285441964666613763,2020-07-21 05:10:21,RT @SpaceX: Watch Falcon 9 launch ANASIS-II → https://t.co/bJFjLCzWdK  https://t.co/iYHJZnZobv
1285438910357622789,2020-07-21 04:58:13,Das baby kann noch keinen löffel benutzen https://t.co/UETqVIA4BP
